C�digo;Produto; Custo de compra ;
513;Vinho Tinto Barolo 2020 - Roversi; R$ 166,68 ;
541;Vinho Tinto Barolo 2021 - Ca Viola; R$ 309,34 ;
377;Vinho Tinto Barolo 2021 - Pio Cesare; R$ 774,26 ;
521;Vinho Tinto Barolo 2021 - Silvio Grasso; R$ 251,44 ;
560;Vinho Tinto Barolo DOCG Monvigliero Risera 2017 - Castello Di Verduno; R$ 689,82 ;
559;Vinho Tinto Barolo DOCG Sarmassa Vigna Merenda 2013 - Scarzello; R$ 800,94 ;
349;Vinho Tinto Barolo Marcenasco DOCG 2020 - Ratti; R$ 464,00 ;
540;Vinho Tinto Barolo Monvigliero 2018 - Castello Di Verduno; R$ 558,24 ;
535;Vinho Tinto Barolo Mosconi Vigna Ped 2021 - Conterno Fantino; R$ 719,74 ;
563;Vinho Tinto Barolo Riva Rocca 2021 - Claudio Alario; R$ 425,67 ;
549;Vinho Tinto Barolo Silio Reserva 2018 - Rizieri; R$ 625,92 ;
562;Vinho Tinto Barolo Sorano 2021 - Claudio Alario; R$ 480,36 ;
539;Vinho Tinto Basadone 2023 - Castello Di Verduno; R$ 187,48 ;
622;Vinho Tinto Beaune 2023 - Albert Bichot; R$ 187,13 ;
274;Vinho Tinto Bellefont Belcier Saint Emilion 2018 - Chateau Bellefont Belcier; R$ 536,76 ;
411;Vinho Tinto Brunello di Montalcino 2020 - Caprili; R$ 449,68 ;
480;Vinho Tinto Brunello Poggio Alle Mura 2019 - Banfi; R$ 709,55 ;
620;Vinho Tinto Campo Sassi Rosso 2023 - Frescobaldi; R$ 154,08 ;
278;Vinho Tinto Capisme-e Langhe Nebbiolo 2023 - Domenico Clerico; R$ 170,70 ;
514;Vinho Tinto Capitel Amarone 2016 - Montresor; R$ 246,34 ;
520;Vinho Tinto Cartuxa Reserva 2018 - Cartuxa; R$ 323,76 ;
287;Vinho Tinto Cascinotto D'Alba Nebbiolo 2021 - Claudio Alario; R$ 206,16 ;
561;Vinho Tinto Cascinotto D'Alba Nebbiolo 2022 - Claudio Alario; R$ 255,28 ;
555;Vinho Tinto CastelGiocondo Brunello 2020 - Frescobaldi; R$ 360,53 ;
585;Vinho Tinto Chapelle 2016 - Potensac; R$ 245,73 ;
558;Vinho Tinto Chateau Canon 2006; R$ 1.269,63 ;
370;Vinho Tinto Chateau Canon 2012 - Chateau Canon; R$ 1.320,42 ;
273;Vinho Tinto Chateau Ormes de Pez Saint Estephe 2018 - Chateau Ormes de Pez; R$ 386,57 ;
315;Vinho Tinto Chateau Rouget 2013 - Chateau Rouget; R$ 404,23 ;
481;Vinho Tinto Chateau Tronquoy-Lalande 2013 - Chateau Tronquoy-Lalande; R$ 343,20 ;
463;Vinho Tinto Chateauneuf du Pape 2021 - Urbain V; R$ 380,89 ;
510;Vinho Tinto Chianti Classico 2021 - Perano; R$ 186,45 ;
254;Vinho Tinto Chianti Classico DOCG Sangiovese 2020 - Caparsa; R$ 192,04 ;
99;Vinho Tinto Clos Apalta 2019 - Clos Apalta; R$ 684,16 ;
497;Vinho Tinto Col Di Bacche Morellino Di Scansano DOCG 2023 - Col Di Bacche; R$ 122,03 ;
348;Vinho Tinto Colombe Langhe Dolcetto 2023 - Ratti; R$ 140,48 ;
200;Vinho Tinto Concerto Di Fonterutoli 2020 - Mazzei; R$ 552,71 ;
547;Vinho Tinto Cotes Du Rhone 2022 - E. Guigal; R$ 111,12 ;
548;Vinho Tinto Crozes Hermitage 2021 - E. Guigal; R$ 220,85 ;
593;Vinho Tinto Dairyman Pinot Noir 2022 - Belle Gloss; R$ 466,86 ;
602;Vinho Tinto Delon Médoc 2014 - Chateau Potensac; R$ 234,66 ;
363;Vinho Tinto Doccio A Matteo Chianti Classico Riserva DOCG 2015 - Caparsa; R$ 321,97 ;
550;Vinho Tinto Dogliani San Luigi 2023 - Chionetti; R$ 118,20 ;
611;Vinho Tinto Dolcetto D'Alba Campot 2023 - Castello di Verduno; R$ 136,66 ;
445;Vinho Tinto Esprit de Pavie 2018 - Chateau Pavie; R$ 197,75 ;
583;Vinho Tinto Etna 2023 - Alta Mora; R$ 149,14 ;
565;Vinho Tinto Etna Rosso 2022 - Tenuta Delle Terre Nere; R$ 289,09 ;
566;Vinho Tinto Etna Rosso San Lorenzo 2021 - Tenuta Delle Terre Nere; R$ 469,99 ;
564;Vinho Tinto Etna Rosso Santo Spirito 2019 - Tenuta Delle Terre Nere; R$ 361,45 ;
567;Vinho Tinto Etna Rosso Vigneto Guardiola 2021 - Tenuta Delle Terre Nere; R$ 361,45 ;
596;Vinho Tinto Extreme Vineyard Suelo Invertido Tannat 2021 - Familia Deicas; R$ 207,02 ;
571;Vinho Tinto Fiorenzo 2022 - Bakkanali; R$ 400,94 ;
384;Vinho Tinto Flor de Pingus 2019 - Dominio de Pingus; R$ 975,09 ;
397;Vinho Tinto G D'Estournel 2020 - Chateau Cos D'Estournel; R$ 303,52 ;
202;Vinho Tinto Garzón Reserva Tannat 2022 - Bodega Garzón; R$ 87,16 ;
580;Vinho Tinto Garzon Single Vineyard Tannat 2023 - Bodega Garzón; R$ 199,23 ;
224;Vinho Tinto Ginestrino Langhe Nebbiolo 2022 - Conterno Fantino; R$ 209,76 ;
487;Vinho Tinto Ginestrino Langhe Nebbiolo 2023 - Conterno Fantino; R$ 193,35 ;
597;Vinho Tinto Giuletta Langhe Rosso 2023 - Olek Bondonio; R$ 233,80 ;
447;Vinho Tinto Idda Etna Rosso 2022 - Gaja; R$ 578,54 ;
342;Vinho Tinto Il Gentile Di Casanova IGT Prugnolo 2016 - La Spinetta; R$ 217,51 ;
570;Vinho Tinto Kani 2023 - Bakkanali; R$ 322,11 ;
574;Vinho Tinto L'Espinouse 2020 - Pézenas; R$ 72,53 ;
471;Vinho Tinto La Dame De Montrose Saint Estephe 2011 - Chateau Montrose; R$ 475,37 ;
